Node Number	X Location (in)	Y Location (in)	Z Location (in)	Directional Deformation (in)
44	12.857	2.1429	-0.68006	-5.4233e-004
45	12.857	2.1429	6.9936e-002	-5.4225e-004
46	13.714	2.1429	-1.4301	-4.9248e-004
47	13.714	2.1429	-0.68006	-4.924e-004
48	13.714	2.1429	6.9936e-002	-4.9232e-004
49	14.571	2.1429	-1.4301	-4.428e-004
50	14.571	2.1429	-0.68006	-4.4272e-004
51	14.571	2.1429	6.9936e-002	-4.4265e-004
52	15.429	2.1429	-1.4301	-3.9423e-004
53	15.429	2.1429	-0.68006	-3.9416e-004
54	15.429	2.1429	6.9936e-002	-3.9408e-004
55	16.286	2.1429	-1.4301	-3.459e-004
56	16.286	2.1429	-0.68006	-3.4583e-004
57	16.286	2.1429	6.9936e-002	-3.4576e-004
58	17.143	2.1429	-1.4301	-2.988e-004
59	17.143	2.1429	-0.68006	-2.9874e-004
60	17.143	2.1429	6.9936e-002	-2.9867e-004
61	18.	2.1429	-1.4301	-2.5433e-004
62	18.	2.1429	-0.68006	-2.5427e-004
63	18.	2.1429	6.9936e-002	-2.542e-004
64	18.857	2.1429	-1.4301	-2.1419e-004
65	18.857	2.1429	-0.68006	-2.1413e-004
66	18.857	2.1429	6.9936e-002	-2.1407e-004
67	19.714	2.1429	-1.4301	-1.8035e-004
68	19.714	2.1429	-0.68006	-1.803e-004
69	19.714	2.1429	6.9936e-002	-1.8024e-004
70	20.571	2.1429	-1.4301	-1.5504e-004
71	20.571	2.1429	-0.68006	-1.5498e-004
72	20.571	2.1429	6.9936e-002	-1.5493e-004
73	21.429	2.1429	-1.4301	-1.408e-004
74	21.429	2.1429	-0.68006	-1.4075e-004
75	21.429	2.1429	6.9936e-002	-1.4069e-004
76	22.286	2.1429	-1.4301	-1.4051e-004
77	22.286	2.1429	-0.68006	-1.4046e-004
78	22.286	2.1429	6.9936e-002	-1.4041e-004
79	23.143	2.1429	-1.4301	-1.5712e-004
80	23.143	2.1429	-0.68006	-1.5707e-004
81	23.143	2.1429	6.9936e-002	-1.5703e-004
82	24.	2.1429	-1.4301	-1.9302e-004
83	24.	2.1429	-0.68006	-1.9297e-004
84	24.	2.1429	6.9936e-002	-1.9293e-004
85	24.857	2.1429	-1.4301	-2.4932e-004
86	24.857	2.1429	-0.68006	-2.4927e-004
87	24.857	2.1429	6.9936e-002	-2.4923e-004
88	25.714	2.1429	-1.4301	-3.255e-004
89	25.714	2.1429	-0.68006	-3.2546e-004
90	25.714	2.1429	6.9936e-002	-3.2541e-004
91	26.571	2.1429	-1.4301	-4.1978e-004
92	26.571	2.1429	-0.68006	-4.1974e-004
93	26.571	2.1429	6.9936e-002	-4.1969e-004
94	27.429	2.1429	-1.4301	-5.298e-004
95	27.429	2.1429	-0.68006	-5.2976e-004
96	27.429	2.1429	6.9936e-002	-5.2972e-004
97	28.286	2.1429	-1.4301	-6.5328e-004
98	28.286	2.1429	-0.68006	-6.5324e-004
99	28.286	2.1429	6.9936e-002	-6.532e-004
100	29.143	2.1429	-1.4301	-7.8823e-004
101	29.143	2.1429	-0.68006	-7.8819e-004
102	29.143	2.1429	6.9936e-002	-7.8815e-004
103	30.	2.1429	-1.4301	-9.3298e-004
104	30.	2.1429	-0.68006	-9.3293e-004
105	30.	2.1429	6.9936e-002	-9.3289e-004
106	30.857	2.1429	-1.4301	-1.0861e-003
107	30.857	2.1429	-0.68006	-1.0861e-003
